Rule No #,Path,Terminologi Used,Deskripsi Error,Last Update,Version,,
20002,-,Found duplicate resource: {Nama Resource},Terjadi duplikasi data pada saat pengiriman resource.Pastikan setiap resource yang dikirim memiliki identifier unik dan belum pernah diregistrasikan sebelumnya.,31 Oktober 2025,v1.1,,
20003,-,Failed to get permission for client for resource type,Client ID Anda tidak memiliki scope akses untuk resource yang diminta (misalnya read:Patient atau write:Encounter). Periksa kembali konfigurasi token dan scope di OAuth Client Configuration SATUSEHAT Developer Portal.,31 Oktober 2025,v1.1,,
20004,-,Resource {Resource Type} is not allowed for current access class,"Jenis organisasi Anda (contoh: Klinik, Laboratorium, RS) tidak diizinkan untuk memproses resource tertentu. Misalnya, Laboratorium tidak dapat membuat Encounter. Sesuaikan penggunaan resource dengan peran organisasi di Master Organization Registry.",31 Oktober 2025,v1.1,,
20005,-,Failed to read request payload,Server gagal membaca payload karena format JSON tidak sesuai. Cek kembali struktur dan encoding file sebelum dikirim melalui endpoint.,31 Oktober 2025,v1.1,,
20006,-,Invalid JSON Payload Format,"Struktur JSON tidak valid. Periksa tanda baca (koma, kurung, atau kutip) dan pastikan formatnya sesuai dengan contoh pada Postman Collection SATUSEHAT API.",31 Oktober 2025,v1.1,,
20007,-,Resource not found {Resource Type}/{Resource ID},ID resource yang diminta tidak ditemukan di FHIR Store SATUSEHAT. Pastikan ID tersebut benar dan sudah tersimpan melalui proses registrasi sebelumnya.,31 Oktober 2025,v1.1,,
20008,-,Failed to unmarshal request payload,Payload valid secara JSON tetapi tidak sesuai dengan struktur FHIR yang diharapkan. Misalnya field valueInteger dikirim dalam format string. Cek kembali tipe data berdasarkan FHIR Resource Definition.,31 Oktober 2025,v1.1,,
20009,-,Please provide Client ID,Client ID tidak ditemukan pada request. Pastikan parameter client_id dikirimkan saat proses autentikasi (/auth/token) atau saat pemanggilan API yang memerlukan otorisasi.,31 Oktober 2025,v1.1,,
20010,-,Can't get Client public key,Public key yang terkait dengan Client ID tidak dapat ditemukan di sistem. Pastikan public key sudah diregistrasikan di halaman konfigurasi Client di Developer Portal agar proses signature verification dapat berjalan.,31 Oktober 2025,v1.1,,
20011,-,Forbidden nested bundle,FHIR tidak mengizinkan adanya Bundle di dalam Bundle. Pastikan struktur pengiriman resource tidak bersarang; setiap Bundle hanya boleh berisi resource-level entries.,31 Oktober 2025,v1.1,,
